202 0 clueweb12-0602wb-40-19720 1  2.3410382671499916 run1
202 0 clueweb12-1500wb-51-12151 80  0.873038931472982 run1
202 0 clueweb12-1702wb-43-28339 81  0.864563802856772 run1
202 0 clueweb12-1304wb-45-03877 82  0.8531757472417573 run1
202 0 clueweb12-1700tw-26-19458 83  0.8515837270493065 run1
202 0 clueweb12-1701wb-94-12194 84  0.8280195985955862 run1
202 0 clueweb12-0407wb-28-19842 85  0.8103272336351658 run1
202 0 clueweb12-1416wb-60-15323 86  0.8017123852383807 run1
202 0 clueweb12-1215wb-33-08369 87  0.7985533513695477 run1
202 0 clueweb12-1100tw-18-08929 88  0.7985014891214143 run1
202 0 clueweb12-1100tw-18-08930 89  0.7985014891214143 run1
202 0 clueweb12-0902wb-25-17572 90  0.7982956547783056 run1
202 0 clueweb12-1700tw-08-09303 91  0.7867526681282895 run1
202 0 clueweb12-1400tw-59-07198 92  0.7602073103863211 run1
202 0 clueweb12-1400tw-16-11230 93  0.7587820818282635 run1
202 0 clueweb12-1703wb-12-05247 94  0.7579669910163584 run1
202 0 clueweb12-1004wb-58-26866 95  0.7570289726689671 run1
202 0 clueweb12-0606wb-62-03233 96  0.755791655703518 run1
202 0 clueweb12-1002wb-12-01571 97  0.7356804052022267 run1
202 0 clueweb12-1811wb-27-08062 98  0.7310548248168908 run1
202 0 clueweb12-0901wb-17-20712 99  0.7258928267303694 run1
202 0 clueweb12-0904wb-87-00462 100  0.7258928267303694 run1
202 0 clueweb12-1700tw-08-09302 101  0.7200877555858449 run1
202 0 clueweb12-0607wb-09-10783 102  0.71147978260725 run1
202 0 clueweb12-1400tw-18-10019 103  0.7056743668412463 run1
202 0 clueweb12-1206wb-33-15528 104  0.6955374794913534 run1
202 0 clueweb12-0207wb-80-09064 105  0.6913835085651722 run1
202 0 clueweb12-0500tw-06-07919 106  0.6810865010718099 run1
202 0 clueweb12-1415wb-76-20214 107  0.67861082247731 run1
202 0 clueweb12-1118wb-26-26611 108  0.6758158958869712 run1
202 0 clueweb12-0905wb-62-10263 109  0.667659582311482 run1
202 0 clueweb12-0210wb-17-32354 110  0.656122727995497 run1
202 0 clueweb12-1900tw-32-20698 111  0.6555124145978738 run1
202 0 clueweb12-0300wb-08-11061 112  0.6449522602969598 run1
202 0 clueweb12-0814wb-20-13703 113  0.6236933920994222 run1
202 0 clueweb12-1100tw-35-08357 114  0.6127945410959262 run1
202 0 clueweb12-0900tw-23-04411 115  0.6115865732235793 run1
202 0 clueweb12-1701wb-32-00144 116  0.608377470783321 run1
202 0 clueweb12-0900tw-24-00475 117  0.6010544718313487 run1
202 0 clueweb12-1909wb-65-23698 118  0.5994838548216702 run1
202 0 clueweb12-0202wb-67-18846 119  0.5969400890600762 run1
202 0 clueweb12-0800tw-57-00770 120  0.5951575922611244 run1
202 0 clueweb12-1118wb-79-27550 121  0.5796917533135926 run1
202 0 clueweb12-1013wb-15-21838 122  0.5793309524261607 run1
202 0 clueweb12-1701wb-88-15679 123  0.5592066576905441 run1
202 0 clueweb12-1007wb-90-19046 124  0.5395579969332076 run1
202 0 clueweb12-1314wb-40-05225 125  0.5339754992998214 run1
202 0 clueweb12-0510wb-95-32597 126  0.5313589495352667 run1
202 0 clueweb12-1702wb-43-28338 127  0.5302675948085487 run1
202 0 clueweb12-0607wb-10-15590 128  0.5301736962898626 run1
202 0 clueweb12-0405wb-81-18234 129  0.5262461567478054 run1
202 0 clueweb12-0013wb-59-04778 130  0.502038001918881 run1
202 0 clueweb12-1216wb-41-05666 131  0.49120131508748344 run1
202 0 clueweb12-1116wb-59-18964 132  0.4732456891318838 run1
202 0 clueweb12-0100wb-77-28276 133  0.47021622092441595 run1
202 0 clueweb12-1500tw-28-00767 134  0.4684563058464222 run1
202 0 clueweb12-0905wb-55-19240 135  0.4652583081289591 run1
202 0 clueweb12-0100wb-44-30245 136  0.4598658897046157 run1
202 0 clueweb12-0103wb-21-16175 137  0.4598658897046157 run1
202 0 clueweb12-1009wb-22-09738 138  0.4550356003186703 run1
202 0 clueweb12-1415wb-40-03869 139  0.45044898083550294 run1
202 0 clueweb12-0013wb-55-03388 140  0.4432308180051526 run1
202 0 clueweb12-0102wb-70-25965 141  0.4432308180051526 run1
202 0 clueweb12-1008wb-66-19209 142  0.4344055117328733 run1
202 0 clueweb12-1007wb-78-14534 143  0.4307961727959358 run1
202 0 clueweb12-0405wb-98-20038 144  0.4273126437462598 run1
202 0 clueweb12-0900tw-05-12646 145  0.4078677546413359 run1
202 0 clueweb12-1809wb-61-03622 146  0.38487112365805654 run1
202 0 clueweb12-0305wb-35-13201 147  0.37656397388951984 run1
202 0 clueweb12-0209wb-09-11391 148  0.3617307403552882 run1
202 0 clueweb12-1301wb-04-12738 149  0.3567247750978698 run1
202 0 clueweb12-0207wb-21-05464 150  0.33994951144711705 run1
202 0 clueweb12-1702wb-43-28359 151  0.3283041704511109 run1
202 0 clueweb12-0905wb-62-10264 152  0.3245763320885724 run1
202 0 clueweb12-0100tw-12-07624 153  0.30225758256670804 run1
202 0 clueweb12-0507wb-02-23676 154  0.29525135816823217 run1
202 0 clueweb12-0211wb-82-16019 155  0.2938534167387259 run1
202 0 clueweb12-0405wb-59-02836 156  0.2740536113585759 run1
202 0 clueweb12-0108wb-61-00476 157  0.26392489428999266 run1
202 0 clueweb12-1807wb-86-09003 158  0.2489393475792152 run1
202 0 clueweb12-0209wb-80-33566 159  0.24617667935305473 run1
202 0 clueweb12-0405wb-50-23725 160  0.22873142906345734 run1
202 0 clueweb12-0100wb-64-08244 161  0.21672484893896218 run1
202 0 clueweb12-0102wb-34-14045 162  0.21672484893896218 run1
202 0 clueweb12-1705wb-22-13047 163  0.21601116656818783 run1
202 0 clueweb12-1200wb-95-00626 164  0.18466464984782388 run1
202 0 clueweb12-0100wb-20-01372 165  0.17238662521768072 run1
202 0 clueweb12-0606wb-91-07838 166  0.1564755827518022 run1
202 0 clueweb12-0212wb-15-25356 167  0.11282537616768629 run1
202 0 clueweb12-0406wb-77-18409 168  0.09896969047863986 run1
202 0 clueweb12-1809wb-57-05633 169  0.09370656517061829 run1
202 0 clueweb12-1902wb-39-28719 170  0.09368945762777 run1
202 0 clueweb12-1908wb-15-03967 171  0.09368945762777 run1
202 0 clueweb12-1913wb-05-07849 172  0.09343396367617332 run1
202 0 clueweb12-1008wb-37-03525 173  0.08595083605756108 run1
202 0 clueweb12-1304wb-45-07890 174  0.07709878653224868 run1
202 0 clueweb12-0610wb-53-03244 175  0.07055297180494717 run1
202 0 clueweb12-0012wb-01-00892 176  0.062197811040401105 run1
202 0 clueweb12-1414wb-79-13810 177  0.053568471607782685 run1
202 0 clueweb12-0002wb-14-02885 178  0.04642266917155387 run1
202 0 clueweb12-0306wb-09-06984 179  0.04094623417355136 run1
202 0 clueweb12-0201wb-62-13794 180  0.04080364712042547 run1
202 0 clueweb12-0210wb-70-24518 181  0.04080364712042547 run1
202 0 clueweb12-0300wb-26-08646 182  0.04080364712042547 run1
202 0 clueweb12-0500tw-07-22575 183  0.03902891315464567 run1
202 0 clueweb12-0000wb-34-35794 184  0.03458963134807466 run1
202 0 clueweb12-0000wb-34-35794.txt 185  0.03458963134807466 run1
202 0 clueweb12-0001wb-97-35622 186  0.03458963134807466 run1
202 0 clueweb12-0102wb-93-02466 187  0.032737672373725844 run1
202 0 clueweb12-1003wb-26-06940 188  0.03150255870796661 run1
202 0 clueweb12-0100tw-32-17086 189  0.030641164769493908 run1
202 0 clueweb12-0311wb-82-23894 190  0.030038925843076075 run1
202 0 clueweb12-1713wb-61-31956 191  0.029010172164790158 run1
202 0 clueweb12-0406wb-98-34015 192  0.02829946522382628 run1
202 0 clueweb12-1101wb-25-16153 193  0.027848591166682788 run1
202 0 clueweb12-1910wb-86-27725 194  0.027714529275699947 run1
202 0 clueweb12-0209wb-13-20397 195  0.026664135803674847 run1
202 0 clueweb12-0000wb-42-34021 196  0.02551412817020009 run1
202 0 clueweb12-0000wb-42-34021.txt 197  0.02551412817020009 run1
202 0 clueweb12-1409wb-79-11456 198  0.024805269821168752 run1
202 0 clueweb12-0302wb-18-33324 199  0.02412166323151225 run1
202 0 clueweb12-0110wb-05-07441 200  0.023358598727598063 run1
202 0 clueweb12-1510wb-29-22854 201  0.022880138219949213 run1
202 0 clueweb12-0210wb-37-21495 202  0.022280380391738828 run1
202 0 clueweb12-1506wb-78-09292 203  0.021963818852215038 run1
202 0 clueweb12-0102wb-93-19722 204  0.02051157367653977 run1
202 0 clueweb12-1200wb-52-27204 205  0.018467025292858534 run1
202 0 clueweb12-0004wb-74-26852 206  0.0176533570418012 run1
202 0 clueweb12-0210wb-42-27958 207  0.017605799420263725 run1
202 0 clueweb12-0403wb-56-18130 208  0.017139673442662068 run1
202 0 clueweb12-0102wb-37-07417 209  0.017133464313579934 run1
202 0 clueweb12-1714wb-93-11944 210  0.017133464313579934 run1
202 0 clueweb12-0208wb-14-27366 211  0.01681054039303589 run1
202 0 clueweb12-0205wb-80-28432 212  0.01665400858345274 run1
202 0 clueweb12-0205wb-52-01308 213  0.016183596778892428 run1
202 0 clueweb12-0207wb-49-10442 214  0.016163400552910077 run1
202 0 clueweb12-0711wb-77-08848 215  0.015504486277385559 run1
202 0 clueweb12-1501wb-88-25925 216  0.013061818820377196 run1
202 0 clueweb12-0000tw-40-10838 217  0.01301392496094759 run1
202 0 clueweb12-0000tw-40-10838.txt 218  0.01301392496094759 run1
202 0 clueweb12-0405wb-76-30090 219  0.01269031795745702 run1
202 0 clueweb12-0812wb-55-10918 220  0.012578197506349016 run1
202 0 clueweb12-0402wb-10-27016 221  0.011442799454515326 run1
202 0 clueweb12-1906wb-38-01319 222  0.011438900106308162 run1
202 0 clueweb12-1903wb-54-13020 223  0.011399883501503448 run1
202 0 clueweb12-1007wb-48-26144 224  0.011399071482187672 run1
202 0 clueweb12-1007wb-88-27431 225  0.011399071482187672 run1
202 0 clueweb12-0013wb-82-24249 226  0.01074074745727853 run1
202 0 clueweb12-0815wb-56-19270 227  0.010582636147573635 run1
202 0 clueweb12-1907wb-87-20395 228  0.01027595969297912 run1
202 0 clueweb12-0813wb-88-21848 229  0.01009235863659233 run1
202 0 clueweb12-0405wb-80-32857 230  0.009650105795238133 run1
202 0 clueweb12-0203wb-75-13286 231  0.009584127308954509 run1
202 0 clueweb12-0108wb-05-29114 232  0.008747567691478816 run1
202 0 clueweb12-1505wb-30-08089 233  0.008705086677471628 run1
202 0 clueweb12-0700tw-08-00812 234  0.008255496804348958 run1
202 0 clueweb12-0311wb-60-09147 235  0.007062220318672472 run1
202 0 clueweb12-0907wb-40-04078 236  0.0061861095619201315 run1
202 0 clueweb12-0500wb-82-26713 237  0.006089815208436905 run1
202 0 clueweb12-0411wb-38-05884 238  0.005345873751178574 run1
202 0 clueweb12-1210wb-85-30030 239  0.005314394126465244 run1
202 0 clueweb12-1007wb-42-29087 240  0.005193936460908198 run1
202 0 clueweb12-1007wb-48-26134 241  0.005193936460908198 run1
202 0 clueweb12-0913wb-09-12247 242  0.005014622110030099 run1
202 0 clueweb12-0203wb-23-02468 243  0.004389979427433998 run1
202 0 clueweb12-0206wb-03-30299 244  0.004389979427433998 run1
202 0 clueweb12-1006wb-74-15824 245  0.0043515417178874955 run1
202 0 clueweb12-1913wb-33-16047 246  0.004232931907762896 run1
202 0 clueweb12-1617wb-12-09448 247  0.004161890026277301 run1
202 0 clueweb12-1502wb-86-14809 248  0.0035858687558786013 run1
202 0 clueweb12-0301wb-92-26737 249  0.00350949875940695 run1
202 0 clueweb12-0904wb-37-09629 250  0.003351298740402644 run1
202 0 clueweb12-1808wb-41-07805 251  0.003351298740402644 run1
202 0 clueweb12-1400wb-04-10976 252  0.003246133863094267 run1
202 0 clueweb12-0402wb-17-30671 253  0.002884217894454942 run1
202 0 clueweb12-0307wb-56-12205 254  0.002728104345201082 run1
202 0 clueweb12-1012wb-63-19337 255  0.0027089322389987607 run1
202 0 clueweb12-1910wb-55-03347 256  0.002600065990332765 run1
202 0 clueweb12-0211wb-30-06219 257  0.002584898557747218 run1
202 0 clueweb12-0608wb-29-00592 258  0.002114562464844472 run1
202 0 clueweb12-1807wb-11-13673 259  0.0020454821054358414 run1
202 0 clueweb12-1309wb-19-15124 260  0.0018095452029404564 run1
202 0 clueweb12-0309wb-03-06632 261  0.0016949116436071295 run1
202 0 clueweb12-0005wb-96-06565 262  0.0015178100872594222 run1
202 0 clueweb12-0507wb-27-12895 263  0.0014485728282720009 run1
202 0 clueweb12-1006wb-17-21364 264  0.001395263288358774 run1
202 0 clueweb12-0105wb-92-00243 265  0.0012825756545568091 run1
202 0 clueweb12-0506wb-54-27858 266  0.0011740330054045842 run1
202 0 clueweb12-1116wb-18-41176 267  0.0011260237466434303 run1
202 0 clueweb12-0210wb-15-04279 268  0.0007593203377282364 run1
214 0 clueweb12-0003wb-84-12067 1  1.5707106756249398 run1
214 0 clueweb12-0004wb-38-02516 2  1.5688785535715721 run1
214 0 clueweb12-0411wb-47-14286 3  1.5625461370114633 run1
214 0 clueweb12-1502wb-65-10621 4  1.5625461370114633 run1
214 0 clueweb12-0011wb-17-26705 5  1.5472767667083915 run1
214 0 clueweb12-0012wb-15-12275 6  1.5472767667083915 run1
214 0 clueweb12-0001wb-15-33433 7  1.5424905152605537 run1
214 0 clueweb12-0810wb-32-25279 8  1.5382165834999333 run1
214 0 clueweb12-0002wb-97-14165 9  1.5331694306663077 run1
214 0 clueweb12-0000wb-46-08820 10  1.5319017656897487 run1
214 0 clueweb12-0000wb-46-08820.txt 11  1.5319017656897487 run1
214 0 clueweb12-0308wb-92-18417 12  1.5203094526906114 run1
214 0 clueweb12-0002wb-22-08924 13  1.5063720198901178 run1
214 0 clueweb12-0305wb-56-06579 14  1.4997417304145386 run1
214 0 clueweb12-1301wb-53-25827 15  1.4976352699046094 run1
214 0 clueweb12-0003wb-36-29741 16  1.4893928425864515 run1
214 0 clueweb12-0403wb-14-21533 17  1.4880086308961284 run1
214 0 clueweb12-0011wb-62-03765 18  1.4848384611688479 run1
214 0 clueweb12-0402wb-30-08361 19  1.4821002213115442 run1
214 0 clueweb12-0510wb-40-26080 20  1.4749253365896293 run1
214 0 clueweb12-0008wb-31-14452 21  1.4689860906704095 run1
214 0 clueweb12-0002wb-22-08917 22  1.4611708575793407 run1
214 0 clueweb12-1210wb-72-29192 23  1.4541715151200139 run1
214 0 clueweb12-0203wb-64-25030 24  1.4447224175342808 run1
214 0 clueweb12-0003wb-75-32101 25  1.431290369732718 run1
214 0 clueweb12-0002wb-37-09326 26  1.430344629837239 run1
214 0 clueweb12-0004wb-91-15926 27  1.4257707429425253 run1
214 0 clueweb12-0012wb-36-02743 28  1.420686747994564 run1
214 0 clueweb12-0000wb-46-37003 29  1.4181316391931296 run1
214 0 clueweb12-0000wb-46-37003.txt 30  1.4181316391931296 run1
214 0 clueweb12-1408wb-29-02724 31  1.4132761894665353 run1
214 0 clueweb12-0809wb-35-22670 32  1.410498764053885 run1
214 0 clueweb12-0111wb-90-10161 33  1.4074308014736718 run1
214 0 clueweb12-1511wb-29-29458 34  1.4065248755465798 run1
214 0 clueweb12-0709wb-53-06757 35  1.4054874966064372 run1
214 0 clueweb12-0700wb-17-32381 36  1.4003861032398606 run1
214 0 clueweb12-1412wb-23-27027 37  1.391462037274299 run1
214 0 clueweb12-0006wb-79-17098 38  1.3911588512508366 run1
214 0 clueweb12-0816wb-91-20896 39  1.3865777322441428 run1
214 0 clueweb12-0818wb-57-10653 40  1.3772363693573013 run1
214 0 clueweb12-0401wb-25-09498 41  1.3710821895222172 run1
214 0 clueweb12-0700wb-92-07011 42  1.36922912580315 run1
214 0 clueweb12-1812wb-13-22454 43  1.3681131316098132 run1
214 0 clueweb12-0000wb-46-08818 44  1.367961807933744 run1
214 0 clueweb12-0000wb-46-08818.txt 45  1.367961807933744 run1
214 0 clueweb12-0002wb-07-11251 46  1.365754322343051 run1
214 0 clueweb12-1410wb-83-15541 47  1.3569849434482817 run1
214 0 clueweb12-1000tw-95-21878 48  1.3566708082815662 run1
214 0 clueweb12-0002wb-22-08931 49  1.355161695434748 run1
214 0 clueweb12-1700wb-56-00262 50  1.3511033538086297 run1
214 0 clueweb12-0301wb-70-31373 51  1.3464551612498397 run1
214 0 clueweb12-1812wb-34-17465 52  1.3461445789893656 run1
214 0 clueweb12-0812wb-31-11832 53  1.3438645574262174 run1
214 0 clueweb12-0701wb-76-01669 54  1.336982279545168 run1
214 0 clueweb12-1609wb-37-05543 55  1.3357348535048912 run1
214 0 clueweb12-0408wb-26-31829 56  1.3294273969913848 run1
214 0 clueweb12-0300wb-22-20049 57  1.3288424865458088 run1
214 0 clueweb12-1913wb-04-15103 58  1.327638782963043 run1
214 0 clueweb12-1012wb-47-04679 59  1.3267762859684311 run1
214 0 clueweb12-0300wb-78-31872 60  1.325846247670051 run1
214 0 clueweb12-0108wb-73-23312 61  1.32310059131235 run1
214 0 clueweb12-0209wb-37-30731 62  1.321089383556165 run1
214 0 clueweb12-1203wb-90-03797 63  1.3181598101648495 run1
214 0 clueweb12-1506wb-80-13978 64  1.3181592254465626 run1
214 0 clueweb12-0112wb-18-29306 65  1.3126783868681573 run1
214 0 clueweb12-0011wb-45-01444 66  1.3095495006408298 run1
214 0 clueweb12-0107wb-82-19323 67  1.3047387319009427 run1
214 0 clueweb12-0209wb-71-22551 68  1.3026939468372465 run1
214 0 clueweb12-0004wb-00-21797 69  1.3013897637506662 run1
214 0 clueweb12-0816wb-78-09958 70  1.297440242483299 run1
214 0 clueweb12-0001wb-33-25442 71  1.294017632365378 run1
214 0 clueweb12-0105wb-53-06835 72  1.2918749288495077 run1
214 0 clueweb12-0403wb-11-16609 73  1.2858728803604402 run1
214 0 clueweb12-0403wb-39-06556 74  1.2858728803604402 run1
214 0 clueweb12-0800wb-29-03800 75  1.2799469977744988 run1
214 0 clueweb12-0108wb-54-22264 76  1.2762248656233617 run1
214 0 clueweb12-1902wb-48-28195 77  1.2742669685480865 run1
214 0 clueweb12-0609wb-03-14203 78  1.2740991036433882 run1
214 0 clueweb12-1609wb-55-16014 79  1.2687124147747788 run1
214 0 clueweb12-1812wb-54-01554 80  1.2684337836274644 run1
214 0 clueweb12-0900tw-61-21014 81  1.260733445499328 run1
214 0 clueweb12-1504wb-34-04019 82  1.2592201824913136 run1
214 0 clueweb12-0815wb-29-23237 83  1.2554146020547639 run1
214 0 clueweb12-0000wb-76-39724 84  1.2554146020547639 run1
214 0 clueweb12-0203wb-73-32078 85  1.2527669335192433 run1
214 0 clueweb12-0111wb-45-11544 86  1.2495505127102011 run1
214 0 clueweb12-0509wb-10-09665 87  1.2485041708728422 run1
214 0 clueweb12-0002wb-85-11186 88  1.247559838970758 run1
214 0 clueweb12-0711wb-87-01602 89  1.2455053799538471 run1
214 0 clueweb12-0701wb-49-05609 90  1.244484817994593 run1
214 0 clueweb12-1609wb-30-05777 91  1.2429083855527316 run1
214 0 clueweb12-1312wb-67-20776 92  1.2386226404706342 run1
214 0 clueweb12-1811wb-45-17197 93  1.23807424016413 run1
214 0 clueweb12-0012wb-57-07518 94  1.2363356592767631 run1
214 0 clueweb12-0013wb-47-32508 95  1.232178016416303 run1
214 0 clueweb12-0013wb-66-25207 96  1.232178016416303 run1
214 0 clueweb12-0212wb-08-25952 97  1.2266946605389668 run1
214 0 clueweb12-0408wb-45-28307 98  1.2259551542655092 run1
214 0 clueweb12-0812wb-25-18947 99  1.224296264700609 run1
214 0 clueweb12-0612wb-68-05029 100  1.220896519853019 run1
214 0 clueweb12-0010wb-91-10775 101  1.2197691268017559 run1
214 0 clueweb12-1700tw-01-13799 102  1.2161092711846178 run1
214 0 clueweb12-1608wb-29-10367 103  1.2151458908070827 run1
214 0 clueweb12-1812wb-13-22460 104  1.2126443778887275 run1
214 0 clueweb12-0501wb-95-00428 105  1.2096962633858688 run1
214 0 clueweb12-0906wb-70-02262 106  1.2088871498276743 run1
214 0 clueweb12-0500tw-06-08576 107  1.2058041897967842 run1
214 0 clueweb12-0202wb-77-34796 108  1.2042222310669508 run1
214 0 clueweb12-0404wb-38-13802 109  1.2009586617479189 run1
214 0 clueweb12-0207wb-36-30771 110  1.2006682099389172 run1
214 0 clueweb12-0205wb-00-12800 111  1.1976024113606234 run1
214 0 clueweb12-0007wb-42-16885 112  1.183349916289074 run1
214 0 clueweb12-0404wb-18-27339 113  1.1790620446172109 run1
214 0 clueweb12-1002wb-28-10594 114  1.1731193811243847 run1
214 0 clueweb12-0208wb-88-11332 115  1.1722925106292088 run1
214 0 clueweb12-0002wb-07-11236 116  1.169987868000838 run1
214 0 clueweb12-0209wb-65-12183 117  1.1694270880532736 run1
214 0 clueweb12-1616wb-28-03098 118  1.1683049444542326 run1
214 0 clueweb12-0202wb-89-22103 119  1.1681675274166685 run1
214 0 clueweb12-1609wb-26-16093 120  1.1627979057054754 run1
214 0 clueweb12-0208wb-88-11331 121  1.1610517371756954 run1
214 0 clueweb12-1808wb-65-09012 122  1.1587657758254246 run1
214 0 clueweb12-0609wb-35-03549 123  1.157655707488923 run1
214 0 clueweb12-1609wb-05-05026 124  1.1512587119703874 run1
214 0 clueweb12-1103wb-48-06506 125  1.1450861606402156 run1
214 0 clueweb12-0401tw-14-01801 126  1.144385799097753 run1
214 0 clueweb12-0303wb-63-20243 127  1.1403685084038644 run1
214 0 clueweb12-0609wb-00-23860 128  1.1392526103610503 run1
214 0 clueweb12-0203wb-19-18575 129  1.1392526103610503 run1
214 0 clueweb12-0710wb-96-16033 130  1.1386351403391053 run1
214 0 clueweb12-0010wb-85-27475 131  1.1358543567224155 run1
214 0 clueweb12-0100wb-06-13329 132  1.1358543567224155 run1
214 0 clueweb12-0511wb-64-28112 133  1.1323158202359707 run1
214 0 clueweb12-0508wb-23-26844 134  1.1269764642202764 run1
214 0 clueweb12-1905wb-83-23865 135  1.1266080420182774 run1
214 0 clueweb12-0205wb-60-27330 136  1.125003863795278 run1
214 0 clueweb12-1803wb-49-14258 137  1.1217291177367534 run1
214 0 clueweb12-1803wb-50-00066 138  1.120601033499585 run1
214 0 clueweb12-0202wb-99-10371 139  1.1204556558269456 run1
214 0 clueweb12-0301wb-45-19686 140  1.1126426611438305 run1
214 0 clueweb12-1702wb-53-17299 141  1.1075011903161853 run1
214 0 clueweb12-1615wb-72-14407 142  1.1059995029402636 run1
214 0 clueweb12-0807wb-31-18328 143  1.1057496335151238 run1
